V_in (Volt);I (milliamp);V
0.0 ;0.0 ;0.0 
0.5;0.0 ;0.498
-0.5;0.0;-0.492
-1.0;0.0;-0.99
-1.5;0.0;-1.49
-2.0;0.0;-1.97
-2.5;-0.04;-2.45
-3.0;-0.5;-2.57
-3.5;-1.03;-2.64
-4.0;-1.63;-2.79
-4.5;-2.19;-2.73
-5.0;-2.85;-2.77
-5.5;-3.50;-2.80
-6.0;-4.13;-2.83
-6.5;-4.76;-2.86
-7.0;-5.33;-2.886
-7.5;-6.02;-2.904
-8.0;-6.68;-2.924
-8.5;-7.34;-2.944
-9.0;-8.00;-2.960
-9.5;-8.32;-2.976
-10.0;-8.88;-2.990
-10.5;-9.59;-3.006
-11.0;-10.52;-3.021
-11.5;-11.85;-3.033
-12.0;-13.4;-3.046
8.0;8.57;2.95
8.5;9.42;2.973
9.0;10.26;2.988
9.5;11.13;3.003
10.0;11.80;3.017
10.5;12.76;3.031
11.0;13.66;3.044
11.5;14.20;3.058
12.0;14.59;3.071
7.5;7.88;2.911
7.0;6.94;2.894
6.5;6.01;2.872
6.0;5.04;2.848
5.5;4.26;2.820
5.0;3.99;2.788
4.5;3.25;2.750
4.0;2.46;2.707
3.5;1.62;2.655
3.0;0.81;2.585
2.5;0.08;2.453
2.0;0.0;1.995
1.5;0.0;1.497
1.0;0.0;0.997